,escola,corr_direta,tp_rede,uf,ind_disp,corr_ind,tx_progr,tx_evolucao,ideb_ai,ideb_af,tx_cresc_af,tx_cresc_ai
1815,22045937,0.7814943478615799,Municipal,PI,8.9074717393079,0.3892494720807611,0.19343905078661172,-0.43089430894308933,4.2,4.0,0.4814814814814814,1.0
1816,22083812,0.8530573801740049,Municipal,PI,9.265286900870024,0.8364283610093426,0.23021241830065353,-0.4442105263157894,5.0,4.4,0.4666666666666668,1.0833333333333335
1817,22016899,-0.09198448588975748,Municipal,PI,4.5400775705512135,0.21693475169583604,0.4026127572617135,-0.6388888888888888,4.3,3.9,-0.0714285714285715,0.38709677419354827
1818,22038892,0.8878182813486322,Municipal,PI,9.439091406743161,0.4999999999999999,0.1475507765830344,-0.13888888888888873,5.8,4.9,0.7500000000000002,0.8709677419354838
1819,22080228,0.0777851274378724,Municipal,PI,5.388925637189362,0.8682655580425447,-0.062136627906976716,-0.12575366063738164,4.5,0.0,-0.07894736842105259,0.8275862068965517
1820,22114432,0.8996594788449406,Municipal,PI,9.498297394224704,0.949766424539899,0.05042270531400961,-0.17181069958847744,4.8,3.5,0.45833333333333337,1.0869565217391306
1821,22101136,0.6026014367889541,Municipal,PI,8.01300718394477,-0.7006119357266065,0.32088863463005346,-0.43542857142857144,2.9,2.6,0.1304347826086958,0.5263157894736842
1822,22071776,0.15389675281277318,Municipal,PI,5.769483764063866,-0.048876532532430066,0.09885019521242433,-0.17329093799682035,3.5,4.0,0.21212121212121218,0.3461538461538461
1823,22061134,0.425027146155338,Municipal,PI,7.12513573077669,-0.10783277320343826,0.04027777777777786,-0.028571428571428657,5.4,3.4,0.0,0.8000000000000002
1824,22040323,0.7618631080792652,Municipal,PI,8.809315540396327,0.8873565094161135,0.6374889478337753,0.039184952978056416,5.8,4.5,0.4516129032258064,1.2307692307692306
1825,22040463,0.9974756002555039,Municipal,PI,9.98737800127752,-0.11198958077500129,1.206447368421053,0.052631578947368494,0.0,5.0,0.4594594594594595,1.48
1826,22040676,0.8651980244924335,Estadual,PI,9.325990122462168,0.9370613063106181,0.22925719068115047,-0.04292527821939605,0.0,4.3,0.2333333333333334,0.21428571428571433
1827,22046070,0.43226517311226137,Municipal,PI,7.161325865561307,0.3812464258315116,0.3447293447293447,-0.051282051282051246,3.9,3.7,0.32142857142857156,0.95
1828,22072535,0.7187735571299494,Municipal,PI,8.593867785649747,-0.32444284226152587,0.13090100111234704,-0.2439516129032259,3.6,3.0,0.36363636363636354,0.44000000000000006
1829,22101438,0.2976837098877246,Municipal,PI,6.488418549438623,-0.9958705948858224,0.0948490507314037,0.11047345767575323,4.2,4.3,0.3437499999999999,0.16666666666666669
1830,22108017,0.4220635637221747,Municipal,PI,7.1103178186108735,0.8589827053300935,0.09107904897378605,-0.1114551083591332,4.8,4.1,0.05128205128205122,0.7142857142857143
1831,22104399,-0.8520859229960712,Estadual,PI,0.7395703850196433,-0.9737642200701823,-0.0373772324377164,-0.707175925925926,0.0,0.0,-0.15789473684210517,1.1818181818181817
1832,22021990,0.850705848415676,Estadual,PI,9.253529242078379,-0.646398735534968,0.17328469022017412,-0.13265306122448964,0.0,4.6,0.2,0.11999999999999993
1833,22022007,0.9667275789908792,Estadual,PI,9.833637894954396,-0.27364240501901077,-0.13325228411435308,-0.4141414141414141,0.0,0.0,0.1333333333333333,0.6551724137931034
1834,22022015,0.8401013299094532,Estadual,PI,9.200506649547266,0.9701002309036438,0.03923853923853926,0.3230769230769231,4.2,0.0,0.5925925925925924,0.4137931034482758
1835,22022066,0.9150795720650452,Municipal,PI,9.575397860325227,-0.7919848674613256,0.08336196597652124,-0.2193877551020409,5.5,5.1,0.457142857142857,0.3095238095238095
1836,22022074,0.9367961225100995,Municipal,PI,9.683980612550497,-0.3048056828776734,0.037045126194278355,0.058097312999273794,6.7,6.2,0.55,0.425531914893617
1837,22022082,0.7581102607453835,Municipal,PI,8.790551303726918,-0.12904912831067705,0.12153688903080795,0.16166666666666654,0.0,6.8,0.3095238095238095,1.0
1838,22022120,0.8740381626570961,Estadual,PI,9.37019081328548,-0.19895026073379046,0.07844683122741758,-0.15310077519379842,4.8,3.8,1.5333333333333332,0.846153846153846
1839,22023909,0.9153314295526804,Municipal,PI,9.576657147763402,-0.17866619071990378,0.07743055555555545,0.3999999999999999,7.0,6.3,0.6578947368421053,0.5555555555555556
1840,22023976,0.9632075614517714,Municipal,PI,9.816037807258857,0.24728883078057953,0.18873192410426443,0.042553191489361486,5.8,6.3,1.8636363636363633,0.6571428571428571
1841,22024204,0.9182003127133636,Municipal,PI,9.591001563566818,0.7541172832070409,0.10730431848852895,-0.06710310965630129,6.9,6.0,0.5384615384615385,0.8157894736842107
1842,22024271,0.7578132752752816,Municipal,PI,8.789066376376407,-0.1569858730832213,-0.008541804962857613,-0.12177777777777775,6.3,5.2,0.36842105263157904,0.6578947368421053
1843,22024352,0.6992934803523961,Municipal,PI,8.496467401761981,0.042854696071154136,0.06437019430360857,-0.05997501041232834,0.0,6.1,0.2499999999999999,0.5945945945945946
1844,22024379,0.5211706937816518,Municipal,PI,7.6058534689082595,0.15530303030303047,0.1207256235827665,0.16363636363636358,6.4,6.4,0.20754716981132088,0.4222222222222223
1845,22024530,0.9511756017862348,Municipal,PI,9.755878008931175,0.9406341620035443,0.21558988503701748,0.04549019607843142,7.1,6.2,0.4418604651162792,0.6511627906976744
1846,22024557,0.7875140237445383,Municipal,PI,8.937570118722691,-0.2773500981126148,0.21236108485115857,0.3650151668351872,0.0,6.0,0.21951219512195133,0.20000000000000007
1847,22024662,0.9754447169357049,Municipal,PI,9.877223584678525,0.9746511390246181,0.23398070262246407,0.1536643026004728,6.4,6.1,0.7941176470588235,0.48837209302325596
1848,22024760,0.9289863214285707,Municipal,PI,9.644931607142853,-0.5000000000000011,0.12601352597776683,0.3974649162516975,6.6,6.3,0.2857142857142856,0.3469387755102039
1849,22024786,0.9349142111590737,Municipal,PI,9.674571055795369,-0.2791978066345108,0.10976634343744385,-0.0324951644100581,7.0,6.1,0.35555555555555546,0.6666666666666666
1850,22024905,0.4856640413570323,Municipal,PI,7.428320206785162,0.4167310084860594,-0.05122847011144882,-0.4666666666666667,5.2,4.6,0.8399999999999999,0.48571428571428577
1851,22025030,0.7799648202678521,Municipal,PI,8.89982410133926,0.28319693016191505,0.03266473601373976,0.0071474983755685315,7.2,6.2,0.29166666666666674,0.44000000000000006
1852,22025049,0.8445828140947799,Municipal,PI,9.2229140704739,0.1325840537489648,0.03762419562419561,0.03756613756613752,6.2,5.3,0.6060606060606061,0.6756756756756757
1853,22025090,0.9205157674248787,Municipal,PI,9.602578837124394,-0.9406341620035449,0.07591575091575087,0.5400696864111499,5.5,5.1,0.08510638297872329,0.057692307692307654
1854,22025197,0.8686737507268874,Municipal,PI,9.343368753634437,0.037829487472550744,0.04964154634185669,-0.14504373177842572,0.0,6.0,0.3333333333333334,0.2173913043478261
1855,22025421,0.9945172012172631,Municipal,PI,9.972586006086315,-0.031577967679357694,0.06138322708090138,0.14523809523809544,5.8,5.2,0.30000000000000004,0.3488372093023256
